,accuracy,mse,mae,lower,upper
0,0.0,135819.0625,368.4700012207031,0.0,0.0
1,60.00964045524597,175.3388214111328,12.147979736328125,0.0,0.1
2,64.47644829750061,142.88999938964844,10.783333778381348,0.1,0.1
3,77.56456732749939,59.9691276550293,6.676983833312988,0.0,0.2
4,81.45197629928589,43.7107048034668,5.510383129119873,0.1,0.2
5,83.77186059951782,34.59000015258789,4.816666603088379,0.2,0.2
6,85.87335348129272,26.1251163482666,4.1758575439453125,0.0,0.30000000000000004
7,88.33889961242676,18.593544006347656,3.480299472808838,0.1,0.30000000000000004
8,89.30387496948242,15.638224601745605,3.221463203430176,0.2,0.30000000000000004
9,89.91082906723022,14.566666603088379,3.0799999237060547,0.30000000000000004,0.30000000000000004
10,89.50484991073608,15.453577041625977,3.1367313861846924,0.0,0.4
11,90.47720432281494,13.563396453857422,2.9058213233947754,0.1,0.4
12,90.3346061706543,14.553805351257324,2.998400926589966,0.2,0.4
13,89.62664604187012,17.534358978271484,3.257119655609131,0.30000000000000004,0.4
14,87.97751069068909,23.420000076293945,3.81333327293396,0.4,0.4
15,91.07580780982971,12.202677726745605,2.7358460426330566,0.0,0.5
16,90.42483568191528,14.807209014892578,3.006539821624756,0.1,0.5
17,89.12605047225952,18.97205352783203,3.4527347087860107,0.2,0.5
18,87.26072907447815,25.225095748901367,4.0615386962890625,0.30000000000000004,0.5
19,84.67722535133362,34.58534240722656,4.8824543952941895,0.4,0.5
20,81.353098154068,48.71666717529297,5.936666488647461,0.5,0.5
21,91.06990694999695,12.6847562789917,2.8113231658935547,0.0,0.6000000000000001
22,89.04526829719543,18.857463836669922,3.4948811531066895,0.1,0.6000000000000001
23,87.09774017333984,25.513500213623047,4.126103401184082,0.2,0.6000000000000001
24,84.51576828956604,34.35767364501953,4.933689117431641,0.30000000000000004,0.6000000000000001
25,81.5081000328064,46.41913604736328,5.875609397888184,0.4,0.6000000000000001
26,77.70634889602661,63.92707824707031,7.065243244171143,0.5,0.6000000000000001
27,72.75581359863281,88.61000061035156,8.583333015441895,0.6000000000000001,0.6000000000000001
28,90.14189839363098,15.921923637390137,3.1576297283172607,0.0,0.7000000000000001
29,87.13321089744568,24.876249313354492,4.116703987121582,0.1,0.7000000000000001
30,84.77200269699097,33.46940994262695,4.8626017570495605,0.2,0.7000000000000001
31,81.78958892822266,44.36880111694336,5.789032936096191,0.30000000000000004,0.7000000000000001
32,78.63906621932983,58.5474739074707,6.771495819091797,0.4,0.7000000000000001
33,74.63754415512085,78.64646911621094,8.016962051391602,0.5,0.7000000000000001
34,69.55904364585876,106.4330825805664,9.563694953918457,0.6000000000000001,0.7000000000000001
35,63.6122465133667,146.6366729736328,11.390000343322754,0.7000000000000001,0.7000000000000001
36,88.7973964214325,19.96532440185547,3.608323574066162,0.0,0.8
37,85.36370992660522,31.040931701660156,4.679222106933594,0.1,0.8
38,82.72936940193176,41.121803283691406,5.510008335113525,0.2,0.8
39,79.63219285011292,53.58511734008789,6.469056606292725,0.30000000000000004,0.8
40,76.37085914611816,69.36445617675781,7.481980800628662,0.4,0.8
41,72.2957968711853,91.3597412109375,8.748332977294922,0.5,0.8
42,67.20055937767029,121.4625015258789,10.298673629760742,0.6000000000000001,0.8
43,61.25377416610718,164.48255920410156,12.124979019165039,0.7000000000000001,0.8
44,54.07187342643738,228.0500030517578,14.363333702087402,0.8,0.8
45,87.55218386650085,23.90827178955078,4.015748500823975,0.0,0.9
46,83.7405264377594,36.77949905395508,5.193490505218506,0.1,0.9
47,80.9112012386322,48.127323150634766,6.080265045166016,0.2,0.9
48,77.74540185928345,61.906925201416016,7.059160232543945,0.30000000000000004,0.9
49,74.38187599182129,79.05827331542969,8.100356101989746,0.4,0.9
50,70.26597261428833,102.7732925415039,9.376723289489746,0.5,0.9
51,65.17073512077332,134.8375244140625,10.92706298828125,0.6000000000000001,0.9
52,59.22393798828125,180.25799560546875,12.753369331359863,0.7000000000000001,0.9
53,52.04204320907593,246.6723175048828,14.991724014282227,0.8,0.9
54,40.30848145484924,374.45001220703125,18.6299991607666,0.9,0.9
55,86.59659624099731,26.982810974121094,4.31773567199707,0.0,1.0
56,82.57458209991455,40.98283767700195,5.555898666381836,0.1,1.0
57,79.67861294746399,53.112083435058594,6.462512016296387,0.2,1.0
58,76.4919102191925,67.70305633544922,7.447231292724609,0.30000000000000004,1.0
59,73.10423851013184,85.71893310546875,8.49437141418457,0.4,1.0
60,68.97086501121521,110.49565124511719,9.775615692138672,0.5,1.0
61,63.87563347816467,143.81192016601562,11.325955390930176,0.6000000000000001,1.0
62,57.92883634567261,190.68341064453125,13.152260780334473,0.7000000000000001,1.0
63,50.746941566467285,258.9313049316406,15.390615463256836,0.8,1.0
64,39.01338279247284,389.6557922363281,19.028892517089844,0.9,1.0
65,0.0,1011.913330078125,31.059999465942383,1.0,1.0
